gene_symbol,Exd1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6z4tcsr848qt6p7
parameter_name,Joints
pvalue,0.9710397
gene_accession_id,MGI:3045306
parameter_id,IMPC_XRY_027_001
