parameter_name,Response amplitude - S
mouse_life_stage,Early adult
pvalue,0.07472906
gene_accession_id,MGI:104640
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
gene_symbol,Rab17
analysis_id,484v713003d4d5d
