analysis_id,3zbt3suc69g87qm
parameter_name,Thyroxine
mouse_strain,C57BL
pvalue,0.1178906
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
gene_symbol,Ahctf1
parameter_id,IMPC_CBC_053_001
