parameter_name,Retinal Blood Vessels
gene_symbol,Eprs1
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
analysis_id,9382dych6j6l8t6
pvalue,0.3916713
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
