parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1918345
mouse_strain,C57BL
gene_symbol,Kif24
mouse_life_stage,Early adult
analysis_id,5hn8fn903t5q171
pvalue,0.7306256
