analysis_id,ubf453cjj03h383
mouse_life_stage,Late adult
pvalue,0.211035
parameter_name,Shape of ribcage
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
