parameter_name,Whole arena resting time
parameter_id,ESLIM_007_001_003
pvalue,0.275055
analysis_id,1pp84vd8dta6f7v
gene_accession_id,MGI:96757
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lcn2
