analysis_id,53857e635y426g8
gene_symbol,Cdin1
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.6192069
gene_accession_id,MGI:3026886
parameter_name,Red blood cell distribution width
Parameter_id,IMPC_HEM_027_001
