parameter_name,Heart weight
pvalue,0.9137167
mouse_life_stage,Early adult
gene_symbol,Sprr1b
gene_accession_id,MGI:106659
analysis_id,v98x33p4f03x77i
parameter_id,IMPC_HWT_008_001
mouse_strain,C57BL
