gene_symbol,Lime1
gene_accession_id,MGI:1919949
mouse_strain,C57BL
parameter_name,Snout size
mouse_life_stage,Early adult
analysis_id,66zif43638888s9
parameter_id,MGP_CSD_067_001
pvalue,0.5441149
