analysis_id,woe318z70178h88
gene_symbol,Rhbg
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2713592
parameter_id,JAX_OFD_012_001
gene_accession_id,MGI:1927379
