parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
gene_symbol,Npbwr1
pvalue,0.6762769
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
analysis_id,d5n4jr1okp6dkc4
