analysis_id,2nkpiw6sb6765vx
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
gene_symbol,Sema6c
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
pvalue,0.8740757
