analysis_id,459x862z88x614i
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
pvalue,0.8686195
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
