gene_symbol,Galnt13
analysis_id,6y0mnn9f5vwhm13
parameter_id,IMPC_EYE_006_001
parameter_name,Narrow eye opening
mouse_life_stage,Late adult
gene_accession_id,MGI:2139447
pvalue,0.07559825
mouse_strain,C57BL
