gene_symbol,Ifi44
mouse_strain,C57BL
gene_accession_id,MGI:2443016
pvalue,0.4174906
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
analysis_id,97p4nu9145m1527
