analysis_id,2psg1g932o608v6
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
pvalue,0.2324292
mouse_strain,C57BL
