parameter_name,Red blood cell count
analysis_id,654c4u2zsw7338b
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
pvalue,0.2427882
mouse_strain,C57BL
gene_symbol,Trp53rkb
parameter_id,ESLIM_016_001_002
