parameter_id,MGP_IMM_070_001
mouse_strain,C57BL
analysis_id,ez70ohh4w1169ot
gene_accession_id,MGI:1914515
parameter_name,Total ab T cells - % of CD45+
pvalue,0.9415941
gene_symbol,Slc39a10
mouse_life_stage,Early adult
