gene_symbol,Usp37
parameter_name,Narrow eye opening
parameter_id,IMPC_EYE_006_001
analysis_id,l5z559c2264q4hf
pvalue,0.9686719
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
