analysis_id,y78vd14l5636j19
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Zmynd19
parameter_id,MGP_MLN_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
pvalue,0.4181254
mouse_strain,C57BL
