pvalue,0.3415077
parameter_id,IMPC_CSD_070_001
gene_symbol,Bach2
analysis_id,e889e23ke0up922
mouse_strain,C57BL
parameter_name,Lower teeth appearance
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
