analysis_id,ov9u3qn0772w2bt
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.6030794
mouse_life_stage,Early adult
mouse_strain,C57BL
