analysis_id,uj58r5k0qscut9g
mouse_life_stage,Early adult
pvalue,0.9092592
parameter_name,Retinal Blood Vessels Pattern
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
