parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_symbol,F2
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.9181902
gene_accession_id,MGI:88380
analysis_id,9824885u49mu325
