analysis_id,3zcr27n2y8ikkfc
mouse_strain,C56BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_027_001
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
gene_symbol,Sprr1b
pvalue,0.6253897
