parameter_name,Total bilirubin
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
analysis_id,zv8r3l65639989j
gene_symbol,Rab22a
parameter_id,IMPC_CBC_008_001
pvalue,1.166606
