analysis_id,n00tp9179650082
gene_symbol,Ntmt2
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4133229
gene_accession_id,MGI:2685053
