pvalue,4.131482e-05
analysis_id,6756x34flso65b9
gene_symbol,Secisbp2l
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
parameter_name,Lean mass
