analysis_id,1t9xj7po632oumx
mouse_strain,C57BL
pvalue,0.8775169
gene_symbol,Trdmt1
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1274787
