parameter_name,Fractional Shortening
gene_accession_id,MGI:88461
pvalue,0.5146848
gene_symbol,Col6a3
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
analysis_id,78fm28sgq0dau43
mouse_life_stage,Early adult
