parameter_name,Platelet count
analysis_id,953383709kwka6p
mouse_strain,C59BL
gene_symbol,Sgip1
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
pvalue,0.711046
gene_accession_id,MGI:1920344
