analysis_id,44318ya63l27pm3
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
parameter_id,IMPC_GEL_060_001
parameter_name,Neural tube morphology
pvalue,0.2919583
