parameter_name,Caudal processes
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Slc30a4
pvalue,0.06308652
gene_accession_id,MGI:1345282
analysis_id,6v8uq2b9tw7896m
