analysis_id,0t440tw380zg5b7
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.5962366
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
mouse_strain,C51BL
gene_symbol,Clvs1
