parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
parameter_name,Percent time in dark
analysis_id,62b9a5d81jff60h
pvalue,0.9455548
gene_symbol,Slx4ip
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
