parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:97838
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,8iyx578murktp83
gene_symbol,Eprs1
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.9764875
