parameter_id,JAXLA_CSD_041_002
analysis_id,e58u98602b167j9
parameter_name,Hindpaw - size
mouse_strain,C3H
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
pvalue,0.1595555
gene_symbol,Mecom
