parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Clvs1
analysis_id,eh919xir7ht17tb
gene_accession_id,MGI:1921688
parameter_name,Caudal processes
pvalue,0.1278803
