parameter_name,Activity (body position)
gene_accession_id,MGI:95457
pvalue,0.593678
mouse_life_stage,E12.5
analysis_id,k03eocotm4pc669
parameter_id,IMPC_CSD_029_001
gene_symbol,Mecom
mouse_strain,C57BL
