parameter_name,center - resting time
pvalue,0.4084481
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
parameter_id,M-G-P_007_001_011
analysis_id,t06rjpq4z1v2f7j
