gene_symbol,Hspa5
mouse_life_stage,Early adult
pvalue,0.1706323
parameter_name,Fusion of vertebrae
gene_accession_id,MGI:95835
mouse_strain,C57BL
analysis_id,5u7l1081s17q0hp
parameter_id,M-G-P_006_001_026
