parameter_id,MGP_PBI_010_001
pvalue,0.9751052
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,jh35ui0b9x8m44c
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
