analysis_id,1wzt20uenx9964q
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_name,Number of rears - total
mouse_life_stage,E12.5
pvalue,0.1430421
parameter_id,JAX_OFD_021_001
