analysis_id,krbs848gol56ic1
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:108072
pvalue,0.725597
gene_symbol,Traf6
parameter_name,Hemorrhage
mouse_strain,C57BL
mouse_life_stage,Early adult
