analysis_id,ci8vccz8r6ymhan
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
pvalue,0.9698899
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
