parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:1920638
mouse_strain,129SV
parameter_name,Center average speed
gene_symbol,Bpifa3
analysis_id,rs8e73b55dc04a0
pvalue,0.9465837
mouse_life_stage,Early adult
