gene_symbol,Pld1
parameter_id,MGP_MLN_032_001
analysis_id,7qtbfl379pypj1e
mouse_strain,C52BL
pvalue,0.3225687
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
