analysis_id,52591qfev3l298f
pvalue,0.5490879
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,IMPC_XRY_066_001
mouse_strain,C57BL
parameter_name,Sacral processes
gene_symbol,Tnni1
