Gene_symbol,Car13
parameter_id,IMPC_OFD_013_001
mouse_life_stage,Early adult
Analysis_id,8k1ssc2ve1sr6k7
parameter_name,Periphery average speed
gene_accession_id,MGI:1931322
Mouse_strain,C57BL
pvalue,0.3068571
