parameter_name,Placenta Size
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,IMPC_GPP_004_001
pvalue,0.4437589
analysis_id,05v7n783v31y5if
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
