analysis_id,z2r6n118sogx6w8
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Usp37
parameter_name,Total B cells - % of CD45+
parameter_id,MGP_IMM_041_001
pvalue,0.7052797
gene_accession_id,MGI:2442483
