analysis_id,528c463u76bvtjs
pvalue,0.3743265
parameter_name,Calcium
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
gene_symbol,Cldn19
