parameter_name,Click-evoked ABR threshold
gene_symbol,Pld1
pvalue,0.1866918
parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
analysis_id,sn1l7yb417b2cbm
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
