parameter_name,Pale yolk sac
analysis_id,f0b4sv14w0c30wy
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
mouse_strain,C57BL
pvalue,0.8126236
gene_symbol,Zfp683
parameter_id,IMPC_GEL_017_002
