parameter_name,Heart weight
pvalue,0.3177466
gene_accession_id,MGI:103302
analysis_id,ip99s77f74b7t2j
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
gene_symbol,Bmp7
mouse_strain,C57BL
