analysis_id,dy92i1frvyumjhr
gene_accession_id,MGI:88071
parameter_name,Time mobile dark side
mouse_strain,C57BL
pvalue,0.6960742
mouse_life_stage,Early adult
gene_symbol,Arnt
parameter_id,JAX_LDT_005_001
