analysis_id,1yi9380s4f314wu
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
gene_symbol,Exd1
parameter_name,Lens Opacity
gene_accession_id,MGI:3045306
pvalue,0.3255434
mouse_strain,C57BL
