analysis_id,0ymbf821fr06180
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8775366
gene_accession_id,MGI:1922745
gene_symbol,Morn5
parameter_id,ESLIM_011_001_703
