parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
pvalue,0.2458536
gene_symbol,Psmd14
analysis_id,bfuhtjsg7et50x3
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
