parameter_name,Basophil cell count
mouse_strain,C57BL
analysis_id,95bs204m9k56tq8
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
pvalue,0.5444368
mouse_life_stage,Early adult
