parameter_name,Facial Morphology
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_id,IMPC_GEP_017_001
pvalue,0.6490817
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,57k6t543yz06527
