analysis_id,s1pa8yt6q6of2ny
pvalue,0.9935805
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
parameter_name,Persistence of hyaloid vascular system
mouse_strain,129SV
