analysis_id,u52y4252uc2jz78
parameter_name,Iron
mouse_life_stage,Early adult
pvalue,0.6337818
gene_symbol,Lurap1
mouse_strain,C50BL
gene_accession_id,MGI:1915325
parameter_id,IMPC_CBC_011_001
